,city,city_lat,city_long
379,Salgado,-11.0282445,-37.4782803
380,São João del Rei,-21.1335755,-44.2588086
381,Franca,46.603354,1.8883335
382,Ibitirama,-20.539374,-41.664695
383,Ipatinga,-19.4777807,-42.5270802
384,Floresta Azul,-14.8602238,-39.6561384
385,Ouro Preto,-20.3851692,-43.5036344
386,Aracruz,-19.8245218,-40.2735025
387,Alfenas,-21.4297405,-45.9479419
388,Sao Joao do Caiua,-22.8544849,-52.3371114
389,Taguatinga,-12.402404,-46.4365769
390,Pelotas,-31.7699736,-52.3410161
391,Embu Guacu,-23.8317997,-46.8156204
392,Porto Franco,-6.34149,-47.396188
393,Piratininga,-22.4136363,-49.1351479
394,Mineiros,-17.5653879,-52.5536721
395,Córdoba,37.8849779,-4.7760131
396,Aguas da Prata,-21.9365,-46.6961333333333
397,Rio Claro,-22.4100108,-47.5603933
398,Santana de Parnaiba,-23.443889,-46.917778
399,Olinda,-7.9986401,-34.8459552
400,Pontal do Parana,-25.574765,-48.3614806
401,Ibiquera,-12.6489164,-40.9323004
402,Jaiba,-15.3373744,-43.6734439
403,São Leopoldo,-29.7544405,-51.1516497
404,Parelhas,-6.691369,-36.6584475
405,Canavieiras,-15.6790128,-38.9449622
406,Cicero Dantas,-10.5932265,-38.3834411
407,Caruaru,-8.2829702,-35.9722852
408,Crato,-7.2369112,-39.4149236
409,Birigui,-21.2908491,-50.34144
410,Nova Petropolis,-29.3759836,-51.1123342
411,Alagoa Grande,-7.04575195,-35.5828090926339
412,Lago da Pedra,-4.5627272,-45.1298628
413,Pedro Leopoldo,-19.617778,-44.043055
414,Estancia Velha,-29.6529666,-51.1719687
415,Sao Joao,21.6732268,112.795420090664
416,Sao Paulo,-23.5506507,-46.6333824
417,Aquiraz,-3.9027184,-38.3889778
418,Caico,-6.4594544,-37.0971911
419,Mogi Guacu,-22.372222,-46.9425
420,Pentecoste,-3.7952282,-39.2713219
421,Teresopolis,-22.4164578,-42.975194
422,Mirassol,-20.8141411,-49.507449
423,Varzea Nova,-11.2527934,-40.9456569
424,Aguas de Chapeco,-27.0741119,-52.9879048
425,Santa Cruz do Rio Pardo,-22.88358245,-49.6109217615385
426,Xanxere,-26.874694,-52.403579
427,Colombo,6.9218124,79.8655608840961
428,Utinga,-12.0781018,-41.090787
429,Marilac,-18.5075,-42.080278
430,Iepe,-22.660165,-51.077881
431,Santa Gertrudes,-22.473,-47.5309412925506
432,Miguel Pereira,-22.4539417,-43.4691978
433,Crucilandia,-20.3985647,-44.3429275
434,Marília,-22.217108,-49.95006
435,Bariri,-22.0746355,-48.7394852
436,Pianco,-7.1987413,-37.9255755
437,Candido,1.2507511,-75.601297
438,Dores do Rio Preto,-20.6856469,-41.8176039307313
439,Camaçari,-12.6998188,-38.3260762
440,Sao Domingos,15.0302377,-23.530823428842
441,Sales Oliveira,-20.8215,-47.8435735294118
442,Biguacu,-27.4961277,-48.6542432
443,Bom Despacho,-19.7375242,-45.2517288
444,Paraiba do Sul,-22.1636384,-43.2916915
445,Jacareí,-23.30528,-45.96583
446,Monte Carmelo,-18.7260939,-47.4958859
447,Guaraciaba do Norte,-4.1632924,-40.7495985
448,Panorama,20.2886,-97.6361
449,Pradopolis,-21.3597815,-48.0746603
450,Americo Brasiliense,-21.72396635,-48.03874796875
451,Jaboticabal,-21.252037,-48.325223
452,Carnauba dos Dantas,-6.5528123,-36.5545758402661
453,Sidrolandia,-20.930212,-54.969219
454,Ibirapitanga,-14.1615686,-39.369522
455,Coronel Fabriciano,-19.5200067,-42.6282686
456,Capao da Canoa,-29.7542937,-50.0215684
457,Hortolândia,-22.85833,-47.22
458,Paulinia,-22.7630391,-47.1532213
459,Porto Nacional,-10.7019786,-48.4110952
460,Tefé,-3.3485276,-64.7102278
461,Mundo Novo,-23.9378876,-54.2859489
462,Alagoinha,-8.4663372,-36.7748832
463,Cambui,-22.6122501,-46.0572137
464,Paulista,-7.9340069,-34.868407
465,Sao Luis do Quitunde,-9.243,-35.6422419354839
466,Catu,-12.351274,-38.379108
467,Santa Cruz,50.7504894,20.7829122
468,Coronel Ezequiel,-6.3597089,-36.2061189270659
469,Tangara,-2.91413965,30.0573360330962
470,Santos Dumont,-21.455867,-43.5522107
471,Ituiutaba,-18.9691887,-49.4639335
472,Vitoria de Santo Antao,-8.1209019,-35.2944858
473,Brasopolis,-22.4742842,-45.6165577
474,Jarinu,-23.0949584,-46.7148636
475,Rio do Sul,-27.2159593,-49.6436982
476,Floriano,-6.7726534,-43.0070616
477,Presidente Epitacio,-21.9845,-52.2318585858586
478,Altamira,43.3768445,-4.1197476
479,Antonio Prado,-28.8544878,-51.2803769
480,Resende,-22.4683626,-44.4463494
481,Limoeiro do Norte,-5.1455607,-38.0984936
482,Valença,-22.2461028,-43.6996917
483,Caucaia,-3.7300563,-38.6593082
484,Alvorada,-29.9981184,-51.0772509
485,Santa Maria da Boa Vista,-8.7784542,-39.8727980885698
486,Taquaritinga,-21.407486,-48.5054848
487,Pirapozinho,-22.2738742,-51.4998867
488,Pereiro,-6.046269,-38.4604192
489,Santa Clara,37.3541132,-121.9551744
490,Camacari,-12.6998188,-38.3260762
491,Ribeirao Branco,-24.2172436,-48.7644001
492,Codó,-4.455623,-43.892354
493,Maranguape,-3.8922967,-38.6835427
494,Buritis,-15.621389,-46.423889
495,Umbauba,-11.3826792,-37.6565562
496,Jitauna,-14.017019,-39.8889976
497,Matinhos,-25.8187344,-48.5342813
498,Ipupiara,-11.82207,-42.6111388
499,Balneário Camboriú,-26.9924395,-48.6339782
500,Sao Joao dos Patos,-6.4934,-43.703623
501,Indaiatuba,-23.09028,-47.21806
502,Contenda,-25.678811,-49.535044
503,Alegre,-20.7625787,-41.5318886
504,Gouvea,-21.8372602,-46.5772254595882
505,Barbacena,-21.2254524,-43.7735087
506,Cajamar,-23.3561111,-46.8769444
507,Nilopolis,-22.8080114,-43.4138222
508,Cosmopolis,-22.6437398,-47.1972086
509,Moreno,-8.108706,-35.08354
510,Alcobaca,39.56304825,-8.96421588223777
511,Patrocinio do Muriae,-21.153333,-42.214444
512,Alta Floresta,-9.8715018,-56.0839881
513,Valerio,36.7874463,-4.2246812
514,Tucuma,-6.7517239,-51.1507941
515,Crixas,-14.5424536,-49.9694813
516,Sao Francisco de Itabapoana,-21.4743369,-41.1118362
517,Sao Francisco,37.7792808,-122.4192363
518,Cantagalo,0.2294719,6.68017602775434
519,Tramandai,-29.9857732,-50.1313662
520,Posse,-14.0835852,-46.3563185
521,Lumiar,38.7713305,-9.16376832977457
522,Ariquemes,-9.9076522,-63.033069
523,Boituva,-23.2854903,-47.6786902
524,Mogi Mirim,-22.433009,-46.9581629
525,Conceicao da Barra,-18.5841421,-39.7371844
526,Porto Ferreira,-21.847,-47.46195
527,Cubatao,-23.8857982,-46.4241869
528,Navegantes,-26.8898813,-48.6495828
529,Simplicio Mendes,-7.8578604,-41.9091375
530,Torres,-29.3373663,-49.7299648
531,Macarani,-15.5610861,-40.4226078
532,Alpinopolis,-20.863611,-46.387777
533,Lucelia,-21.718203,-51.021511
534,Sobral,-3.6879135,-40.3456372
535,Lajedo,-8.657914,-36.329336
536,Sao Lourenco do Sul,-31.3660131,-51.9799711
537,Bastos,-21.9200478,-50.7344335
538,Peruibe,-24.3218105,-46.9977452
539,Guanhaes,-18.7753627,-42.9340634
540,Sabinopolis,-18.6656839,-43.0830439
541,Almenara,-16.1740678,-40.6904907
542,Beauharnois,45.3139778,-73.875834
543,Caete,-19.897777,-43.670278
544,Chapecó,-27.1011804,-52.6188987
545,Caxias,-29.1684796,-51.1793861
546,Sao Joao da Barra,-21.6348588,-41.0487079
547,Serrolandia,-11.4200011,-40.2974938
548,Paragominas,-2.99564,-47.3548942
549,Lagoa Nova,-6.0948803,-36.4704991
550,Capitolio,-20.6142437,-46.0487652
551,Itatiba,-22.9965861,-46.8412042
552,Maua,-23.66767,-46.461263
553,Artur Nogueira,-22.5595,-47.1324464285714
554,Solanea,-6.7540351,-35.6621943
555,Condado,-0.1032661,-78.5045937
556,Boca do Acre,-8.5717733,-68.2743639878733
557,Ilhéus,-14.793045,-39.04602
558,Altinopolis,-21.021364,-47.3712
559,Sangao,-28.6397512,-49.1266106
560,Juramento,-16.8458291,-43.5867351
561,Paripiranga,-10.6828923,-37.8621523
562,Aracariguama,-23.438611,-47.061389
563,Patos,-7.0258285,-37.2766817
564,Caxambu,-20.0721743,-44.475726
565,Videira,-27.00544,-51.1533733
566,Mateus Leme,-19.986666,-44.428056
567,Itirucu,-13.5338389,-40.1502444
568,Maracas,-13.4408898,-40.433052
569,Balsas,-7.53214,-46.037163
570,Camutanga,-7.4092965,-35.2738166
571,Pouso Alegre,-22.2343858,-45.9327241
572,Mage,-22.6604221,-43.0426162
573,Pau dos Ferros,-6.1124964,-38.2062628
574,Alegrete,-29.790166,-55.794862
575,Sapiranga,-29.6392382,-51.0068586
576,Presidente Medici,-11.24637385,-61.8818598765255
577,Tapes,-30.6747721,-51.3986199
578,Pesqueira,-8.357974,-36.697783
579,Belo Jardim,-8.3338293,-36.4176419
580,Rincao,-21.5881095,-48.0724258
581,Itapevi,-23.54888,-46.933889
582,Russas,-4.926727,-37.972086
583,Jaciara,-15.9520115,-54.9762106
584,Erechim,-27.6350143,-52.2737288
585,Lidice,50.1435834,14.1905224
586,Barra do Corda,-5.496823,-45.248496
587,Maracanau,-3.8779438,-38.6247697
588,Nova Lima,-19.9854089,-43.8470691
589,Nova Odessa,-22.78135445,-47.2785626949566
590,Novo Hamburgo,-29.6905705,-51.1429035
591,Primavera,-2.3370048,-79.4016386
592,Vargem Grande Paulista,-23.6245472,-47.0229536002509
593,Barra Bonita,-22.47657125,-48.557060625
594,Vicosa,-20.7538586,-42.8815888
595,Sarzedo,-20.0353,-44.1453
596,Alfredo Chaves,-20.6249704,-40.7500669014799
597,Lagoa Seca,-7.148297,-35.8551719460357
598,Itaqui,-29.131051,-56.551478
599,Cruzeiro,-4.3188405,-38.8914022
600,Nova Serrana,-19.875834,-44.984166
601,Ubatuba,-23.433162,-45.083415
602,Igarape,-20.0687726,-44.3016306
603,Itapiranga,-27.1719977,-53.7118734
604,Ipora,-24.0039474,-53.7100595
605,Paramirim,-13.4437218,-42.2419768
606,Granja,-3.1212057,-40.8284124
607,Macaubas,-13.0174846,-42.6882221
608,Brumadinho,-20.143611,-44.2
609,Paripueira,-9.463133,-35.551977
610,Paratinga,-12.692459,-43.1805318
611,Parapeuna,-22.102868,-43.828812
612,Caldas Novas,-17.745,-48.625
613,Três Corações,-21.695625,-45.2543675
614,Salto,20.53910005,-103.240377528528
615,Cabo Verde,16.0000552,-24.0083947
616,Tibau do Sul,-6.1872965,-35.0905246
617,Castanhal,-1.2927031,-47.9223903
